college_code,college_name,major_group_code,subject_requirement,min_score,source_image,status,estimated_cumulative_rank_from_score_distribution,rank_source,rank_status
3369,温州大学,500,选考化学,558,,visual_ocr_needs_spotcheck,30799,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3369,温州大学,999,不限选考科目,548,,visual_ocr_needs_spotcheck,36213,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3370,温州大学（中外合作）,500,选考化学,545,,visual_ocr_needs_spotcheck,37957,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3371,温州肯恩大学,500,选考化学,549,,visual_ocr_needs_spotcheck,35614,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3371,温州肯恩大学,999,不限选考科目,551,,visual_ocr_needs_spotcheck,34510,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3372,温州理工学院,500,选考化学,531,,visual_ocr_needs_spotcheck,46854,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3373,温州商学院,500,选考化学,472,,visual_ocr_needs_spotcheck,92964,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3373,温州商学院,999,不限选考科目,458,,visual_ocr_needs_spotcheck,104965,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3374,温州医科大学,500,选考化学,584,,visual_ocr_needs_spotcheck,18650,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3375,温州医科大学（中外合作）,500,选考化学,573,,visual_ocr_needs_spotcheck,23443,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3376,温州医科大学仁济学院,500,选考化学,485,,visual_ocr_needs_spotcheck,81945,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
3377,武昌工学院,500,选考化学,468,,visual_ocr_needs_spotcheck,96446,fujian_2025_physics_score_distribution_usable_v1,derived_from_score_distribution_needs_spotcheck
